French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Pantalon,NI,Plejes,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.46",,
Vivification (la),,Pm8wzikhodw8gan,,"Wz8khilain, 1830, p.66",,
Une personne,NA,Pm8wzowinno,,"Laurent, 1884, p.67",,
Graisseux,,Pmioo,,"Wz8khilain, 1830, p.46","Laurent, 1884, p.36",
Bile,,Pmowa,,"Wz8khilain, 1830, p.46",,
Hirondelle de rivage,NA,Pneg8kihlasis,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Colline sablonneuse,NI,Pnek8kw,,"Wz8khilain, 1830, p.44",,
Octobre,NA,Pnibagos,,"Wz8khilain, 1830, p.89",,
Baleine,NA,Podaba,,"Nolett-Ille, 1996, p.4",,
L’action de souffler,NA,Podawaw8gan,Nom;Action,"Day, 1994, p.438",,
Conseil de bande,NA,Podawazimek,,"Masta, 1932, p.36",,
Conseil de bande,NA,Podawazw8gan,,"Masta, 1932, p.36",,
Conseil de bande,NI,Podawazwigamikw,Nom;Lieu,,,
Pudding,NA,Podin,,"Wz8khilain, 1830, p.46",,
Butor d’amérique,NA,Pokhamenes,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Oreiller,NA,Pokwahsimon,,"Wz8khilain, 1830, p.59",,
"Brandon, Tison, Torche",NI,Pokwda,,"Wz8khilain, 1830, p.46",,
Traquet motteux,NA,Pokwi sigoskwasis,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
La rédemption,NI,Polwakhowaw8gan,Nom,"Laurent, 1884, p.13",,
Sauveur,NA,Polwakhowawinno,Nom,"Laurent, 1884, p.13",,
Salut,NI,Polwaw8gan,Nom,"Laurent, 1884, p.14",,
Mets/place quelqu'un ou quelquechose (A),VTA;2;s;impératif,Pona,,"Laurent, 1884, p.189",,
Mets/place quelquechose (I),VTI;2;s;impératif,Pona,,"Laurent, 1884, p.189",,
Mets/place,VAI;2;s;Impératif,Ponasi,,"Laurent, 1884, p.189",,
L’acte d’allumer ou d’entretenir un feu,NA,Ponsaw8gan,,"Wz8khilain, 1830, p.59",,
Canneberge,NI,Popokwa,Nom;Plante;Fruit,"Laurent, 1884, p.62",,
Cerceuil,NI,Poskenigan,Nom;Objet,"Laurent, 1884, p.207",,
Cimetière,NI,Poskeniganigamikw,Nom;Lieu,"Laurent, 1884, p.207",,
Bouteille,NA,Pot8ïa,Nom;Objet,"Wz8khilain, 1830, p.53",,
Botte,NI,Pots,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.44","Laurent, 1884, p.36",
Il neige,VII;3;s;présent,Ps8n,,"Laurent, 1884, p.17",,
Il neigera,VII;3;s;futur,Ps8nji,,"Laurent, 1884, p.201",,
Mûre(Ronce noire),NA,Psakwdamen,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Mûrier(Ronce noire),NA,Psakwdamenimozi,Nom;Plante,"Wz8khilain, 1830, p.63",,
Plein,,Psanba,,"Wz8khilain, 1830, p.45",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Écureuil noir,NA,Psanikw;Psanigw,,"Wz8khilain, 1830, p.45",,
Plein,,Psanta,,"Wz8khilain, 1830, p.45",,
Planche,NI,Psigaskw,,"Wz8khilain, 1830, p.44",,
Petite planche,NI,Psigaskwis,Nom;Objet,"Day, 1994, p.102",,
Demi/Partie de/Un morceau,,Psigia,,"Wz8khilain, 1830, p.44","Laurent, 1884, p.36",
Branche,NI,Pska8tkwen,Nom;Plante;Arbre,"Wz8khilain, 1830, p.66",,
Fleur,NI,Pskwasaw8n,,"Laurent, 1884, p.9",,
Aronie,NA,Psolimen,Nom;Plante;Fruit,"Rousseau, 1947, p. 40",,
Arbuste à aronie,NA,Psolimenakwam,Nom;Plante;Arbre,"Day, 1994, p.442",,
Épais,,Pzagwa,,"Wz8khilain, 1830, p.46",,
Bison,NA,Pziko,,"Wz8khilain, 1830, p.46",,
À travers,Adv,S8biwi,,"Laurent, 1884, p.89",,
Homard,NA,S8ga,,"Laurent, 1884, p.39",,
Se jette (rivière),VII;3;s;présent,S8gdalha,Verbe,"Masta, 1932, p.26",,
Quelquechose (I) est dur.,VII;Z,S8gla,,,,
Ce (I) qui est dur.,Adj,S8glak,,"Laurent, 1884, p.68",,
"Il se sent solide, il se sent en santé",VAI;3;s;Présent,S8glamalso,,"Laurent, 1884, p.99",,
Santé (la),NI,S8glamalsow8gan,,"Laurent, 1884, p.24",,
Solide,Adj,S8gli,,"Laurent, 1884, p.65",,
Ce (A) ou celui qui est solide.,Adj,S8glizit,,"Laurent, 1884, p.68",,
Chef,NA,S8gm8,,"Wz8khilain, 1830, p.49",,
Chef,NA,S8gm8skwa,,"Nolett-Ille, 1996, p.9",,
Saint,,S8gm8wi,,"Laurent, 1884, p.65",,
Vivre paisiblement,,S8gnauw8wzimek,,"Masta, 1932, p.76",,
Paix (la),NI,S8gnaw8wzow8gan,,"Nolett-Ille, 1996, p.35",,
Sois tranquilles,VAI,S8gnawabi,,"Laurent, 1884, p.94",,
Soyons tranquilles,VAI,S8gnawabida,,"Laurent, 1884, p.94",,
Soyez tranquilles,VAI,S8gnawabikw,,"Laurent, 1884, p.94",,
Hôtel,NI,S8khebaïgamikw,Nom;Lieu,"Laurent, 1884, p.40",,
Celui qui vient en rampant; un enfant qui va nous remplacer.,VAI,S8khigwezit,,"Day, 1994, p. 536","Nolett-Ille, 1996, p.13",
Lever du soleil – Soleil levant,NA,S8khipozit kizos,,"Laurent, 1884, p.19",,
Oxalis acetosella,VII;3;s;présent,S8sowipogwat,Nom;Plante,"Day, 1994, p.457",,
Sud,NI,S8wanaki,,"Laurent, 1884, p.46",,
Souvent,Adv,S8waïwi,,"Day, 1994, p.537",,
Vivre pauvrement,,Saag8wzimek,,"Masta, 1932, p.76",,
Ah! Misère!,Interjection,Saagat,Interjection,"Laurent, 1884, p.90",,
Demain,Particle,Saba,Nom;Temps,"Laurent, 1884, p.86",,
"Grande Bardane, Arctium Lappa",NI,Sagadabobagw,Nom;Plante,"Rousseau, 1947, p. 45",,
If du canada,NA,Sagask8dakw,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
"Baguette, Refouloir",NI,Sagw8lhigan,,"Laurent, 1884, p.12",,
Belette,NA,Sagwasis,,"Laurent, 1884, p.36",,
Cidre,NI,Saidal,,"Wz8khilain, 1830, p.47",,
Dans le bois,Adverbe,Sakhiwi,Adverbe,"Day, 1994, p.516",,
Bague,NI,Sakiljahon,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.61",,
Boucle de nez,NI,Sakj8lhon,Nom;Objet,Charland,,
Boucle d'oreille,NI,Saksahon,Nom;Objet;Vêtement,"Wz8khilain, 1830, p.55",,
Poêle à frire,NI,Sal8mkwazigan,Nom;Objet,"Day, 1994, p.516",,
Sumac,NA,Sal8n,,"Wz8khilain, 1830, p.47",,
Soudainement,Adv,Salakiwi,,"Day, 1994, p. 519",,
Chaloupe,NI,Salaspaolagw,Nom;Objet,"Rasles, 1831, p.406",,
Homme,NA,San8ba,,"Laurent, 1884, p.66",,
Population masculine,NI,San8baw8gan,,"Wz8khilain, 1830, p.63",,
Dimanche,NI,Sanda,,"Wz8khilain, 1830, p.47",,
Sortie,NI,Saosaw8gan,Nom;Maison,Charland,,
"salsepareille, Aralia Nudicaulis",VII Participe,Sas8gsek,Nom;Plante,"Laurent, 1884, p.33",,
Juste,,Sasagi,,"Laurent, 1884, p.65",,
Ce (I) qui est droit.,Adj,Sasagigek,Ajdectif,"Laurent, 1884, p.65",,
C'est droit (I),VII;3;s;présent,Sasagigen,Verbe,"Laurent, 1884, p.65",,
Ce (A) qui est droit.,Adj,Sasagigit,Ajdectif,"Laurent, 1884, p.65",,
Il est droit (A),VAI;3;s;présent,Sasagigo,Verbe,"Laurent, 1884, p.65",,
Justice,NI,Sasaginnowogan,Nom,"Laurent, 1884, p.13",,
"Droitement, directement",Adv,Sasagiwi,Adverbe,"Laurent, 1884, p.87",,
Balle de fusil,VII;3;s;présent;participe,Sasahl8k,,"Wz8khilain, 1830, p.57","Nolett-Ille, 1996, p.5",
Très soudainement,Adv,Sasalakiwi,Adverbe,"Day, 1994, p. 519",,
Un plomb de fusil,VII;3;s;présent,Sasalh8k,Nom;Object,"Wz8khilain, 1830, p.57",,
Pluvier,NA,Sasaso,Nom;Animal;Oiseau,"Laurent, 1884, p.37",,
Garde robe,I ?,Saskak,,"Wz8khilain, 1830, p.47",,
Sureau du Canada,NA,Saskib,Nom;Plante;Arbre,"Laurent, 1884, p.32",,
Bleuet,NI,Sata,,"Wz8khilain, 1830, p.47",,
Plant de bleuet,IN,Satamozi,Nom;Plante,"Laurent, 1884, p.31",,
Vêtement,NI,Sawaw8gan,,"Nollett-Ille, 1996, p.51",,
Fatigue,NI,Sawsannow8gan,,"Nolett-Ille, 1996, p.18",,
Soudain,Adj,Sazalki;Sazalkiwi,,"Nolett-Ille, 1996, p.46",,
Soudainement,Adv,Sazalkiwi;Sazalakiwi,,"Nolett-Ille, 1996, p.46",,
Jésus,,Sazos,Prénom,"Laurent, 1884, p.13",,
Le long de,Adv,Seb8ïwi,,"Laurent, 1884, p.89",,
Moufette,NA,Seg8gw,,"Laurent, 1884, p.36",,
Faucon,NA,Segwanilha,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Fricassée,NI,Segweskejakhigan,Nom,"Laurent, 1884, p.29",,
Framboise,NA,Segweskimen,Nom;Plante;Fruit,"Laurent, 1884, p.31",,
Plant de framboise,NA,Segweskimenimozi,Nom;Plante,"Laurent, 1884, p.31",,
Pierre,NI,Sen,,"Wz8khilain, 1830, p.44",,
Érable à sucre,NA,Sen8mozi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.60",,
Il y a beaucoup de roches,VII;3;s;présent,Senika,Verbe,"Day, 1994, p.448",,
Tripe de roche (Polydium virginianum),NI,Senikaladabagw,Nom;Plante,"Day, 1994, p.448",,
Berge,Adv,Senojiwi,Adverbe,"Laurent, 1884, p.35",,
Salive,NI,Sesekw,,"Wz8khilain, 1830, p.47",,
Quelqu'un peinture quelqu'un ou quelquechose (A).,VTA,Sezoh8mek,,"Laurent, 1884, p.193",,
Quelqu'un peinture quelquechose (I).,VTI,Sezoh8zik,,"Laurent, 1884, p.193",,
Peinture quelqu'un ou quelquechose (A).,VTA,Sezoha,,"Laurent, 1884, p.193",,
Peinture quelquechose (I).,VTI,Sezoha,,"Laurent, 1884, p.193",,
Peinture.,VAI,Sezohiga,,"Laurent, 1884, p.193",,
Peinturez.,VAI,Sezohigagw,,"Laurent, 1884, p.193",,
Quelqu'un peint.,VAI isc,Sezohigamek,,"Laurent, 1884, p.193","Nolett-Ille, 1996, p.53",
Peinturez quelqu'un ou quelquechose (A).,VTA,Sezohogw,,"Laurent, 1884, p.193",,
Peinturez quelquechose (I).,VTI,Sezohomogw,,"Laurent, 1884, p.193",,
Peinture,NI,Sezowigan,,"Laurent, 1884, p.44",,
Buse,NA,Si8mo,Nom;Animal;Oiseau,"Day, 1994, p.451",,
Une voile,NI,Sibakhigan,Nom;Objet,"Day, 1994, p.449",,
Le mat d'un bateau; littéralement l'arbre à voile?,NA,Sibakhiganakwam,Nom;Objet,"Day, 1994, p.449",,
Rivière,NI,Sibo,Nom;Lieu,"Wz8khilain, 1830, p.47",,
Eau de rivière,NI,Sibobi,Nom,"Laurent, 1884, p.15",,
La crucifixion,NI,Sidakwtahodw8gan,Nom,"Laurent, 1884, p.13",,
Un vœu pour quelqu'un,NI,Sidaldam8wadw8gan,Nom,"Day, 1994, p.451",,
Le printemps prochain,,Sigwaga,,"Nolett-Ille, 1996, p.40",,
Printemps,VII,Sigwan,,"Wz8khilain, 1830, p.47",,
Le printemps passé,,Sigwana,,"Nolett-Ille, 1996, p.40",,
Au printemps,Adv,Sigwaniwi,,"Wz8khilain, 1830, p.60",,
Veuf,NA,Sigwit,Nom;Personne,"Wz8khilain, 1830, p.45",,
Réserve,NI,Sigwnigan,Nom;Lieu,"Laurent, 1884, p.54",,
Pluie verglaçante,,Sikwla,,"Laurent, 1884, p.17",,
Veste,I ?,Silat,,"Wz8khilain, 1830, p.47",,
Ruban,NI,Silki,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.34",
Soie (de la),NI,Silki,,"Wz8khilain, 1830, p.47",,
Tard,Adverbe,Sipki,,"Laurent, 1884, p.86",,
Dernièrement/Retard,Adv,Sipkiwi,,"Nolett-Ille, 1996, p.27","Nolett-Ille, 1996, p.45",
Oiseau,NA,Sips,,"Wz8khilain, 1830, p.44",,
Serpent à sonnette,NA,Sisikwa,,"Laurent, 1884, p.39",,
Hochet,NI,Sisiwan,,"Nolett-Ille, 1996, p.24",,
Sel (du),NI,Siwan,,"Wz8khilain, 1830, p.47",,
Poteau de clôture,NA,Skah8gan,,"Wz8khilain, 1830, p.49",,
Peau brute,I ?,Skahla,,"Wz8khilain, 1830, p.45",,
Bâton vert (branche pas encore sec),NI,Skakwam,,"Wz8khilain, 1830, p.45",,
Maïs,NI,Skamon,,"Wz8khilain, 1830, p.45",,
Pain de maïs,NA,Skamoniab8n,Nom;Objet,"Day, 1994, p.453",,
Septembre,NA,Skamonkas,,"Wz8khilain, 1830, p.89","Masta, 1932, p.67",
Viande fraîche,I ?,Skawakw,,"Wz8khilain, 1830, p.45",,
Croix,VII,Skawategw,,"Nolett-Ille, 1996, p.12","Laurent, 1884, p.39",
Vendredi,NI,Skawategwikizgat,,"Laurent, 1884, p.19",,
"Patate en chapelet, Apios Americana, Penacs",NA,Skib8,Nom;Plante;Légume,"Laurent, 1884, p.32",,
Feuille verte,NI,Skibagw,,"Wz8khilain, 1830, p.45","Nolett-Ille, 1996, p.50",
Cru,,Skiia,,"Wz8khilain, 1830, p.45",,
Couleuvre,NA,Skog,,"Wz8khilain, 1830, p.44","Nolett-Ille, 1996, p.19",
Couleuvre,NA,Skok,,"Nolett-Ille, 1996, p.11",,
,,Skokimen,,,,
Truite,NA,Skotam,,"Wz8khilain, 1830, p.45","Nolett-Ille, 1996, p.30",
Fil à coudre,NA,Skw8zontagw,,"Wz8khilain, 1830, p.55",,
Feu,NI,Skweda,,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.47",
"Automobile, littéralement wagon de feu.",NA,Skwedaiwagin,Nom;Véhicule,"Day, 1994, p.456",,
Mer,NI,Sobagw,,"Wz8khilain, 1830, p.47",,
Canard marin,NA,Sobagwilha,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Tortue marine,NA,Sobagwitolba,,"Day, 1994, p.527",,
Chaudron,NA,Sodl8,,"Day, 1994, p.457",,
Chaudron,NA,Sodl8,Nom;Objet,"Day, 1994, p.457",,
Sucre,NA,Sogal,,"Wz8khilain, 1830, p.47",,
Gâteau,NA,Sogalab8n,,"Nolett-Ille, 1996, p.22",,
Faire du sucre,,Sogalikan,,"Wz8khilain, 1830, p.60",,
Avril,NA,Sogalikas,,"Wz8khilain, 1830, p.89",,
Eau d'érable,NI,Sogalinebi,,"Nolett-Ille, 1996, p.15",,
C'est de la nourriture sucrée.,VII;3;s;présent,Sogalipogwat,Verbe,Charland,,
Baptème,NI,Sogenab8zew8gan,Nom,"Day, 1994, p.528",,
Il pleut,VII;3;s;présent,Sogl8n,,"Laurent, 1884, p.201","Nolett-Ille, 1996, p.41",
Hirondelle,NA,Sogl8nilhasis,Nom;Animal;Oiseau,"Nolett-Ille, 1996, p.24","Nolett-Ille, 1996, p.45",
Il pleuvra,,Sogl8nji,,"Laurent, 1884, p.201",,
C’est une température pluvieuse,VII;3;s;présent,Sogl8nkizgat,Verbe,"Laurent, 1884, p.15",,
Il cuit,VAI,Soglozo,,"Day, 1994, p.528",,
Raisin sec,NA,Somen,,"Wz8khilain, 1830, p.47",,
Savon,NA,Sop,,"Wz8khilain, 1830, p.44",,
C'est de la nourriture sûre.,VII;3;s;présent,Sowipogwat,Verbe,Charland,,
Espagnol,NA,Sp8nioli,,"Laurent, 1884, p.53",,
La langue espagnole,NI,Sp8nioli8dwaw8gan,,"Laurent, 1884, p.53",,
Âne,NA,Sp8nioliases,,"Laurent, 1884, p.35",,
Tôt,Adj,Sp8zi,,"Laurent, 1884, p.102",,
Quelqu'un (A) déjeune.,VIAi,Sp8zipimek,,"Laurent, 1884, p.88",,
Tôt,Adv,Sp8ziwi,Adverbe,Philippe Charland,,
Le matin (quand c'est le matin),VII;3;s;présent,Sp8zowik,,"Wz8khilain, 1830, p.47",,
Paradis,NI,Spemki,,"Laurent, 1884, p.14",,
L’ascension,NI,Spemkik alihl8d,Nom,"Laurent, 1884, p.13",,
"Chambre à coucher, étage du haut",NI,Spemsakw,,"Wz8khilain, 1830, p.47",,
Juif,NA,Swip,,"Wz8khilain, 1830, p.44","Laurent, 1884, p.92",
Sept (chiffre),Numéral,T8baw8s,Numéral,"Laurent, 1884, p.73",,
Arc,NA,T8bi,,"Wz8khilain, 1830, p.88","Laurent, 1884, p.105",
Quelque part,,T8m8,,"Nolett-Ille,????, p.165",,
Combien,Pronom interrogatif,T8ni,,"Charland, O'bomsawin, 2021, p.34",,
Comment,Adv,T8ni,,"Charland, O'bomsawin, 2021, p.34",,
Où,,T8ni,,"Charland, O'bomsawin, 2021, p.34",,
Si,Conjonction,T8ni,,"Laurent, 1884, p.90",,
Quand,Conjonction,T8ni adoji,,"Laurent, 1884, p.89",,
Comment t'appelles-tu?,,T8ni aliwizian?,,"Laurent, 1884, p.92",,
Où es-tu?,,T8ni tali aïan?,,,,
J’ouvre quelquechose (I),VTI;1;s;présent,T8wdam,,"Laurent, 1884, p.96",,
Ouvrez quelquechose (I),VTI;2;p;Impératif,T8wdamogw,,"Laurent, 1884, p.96",,
Quelqu'un ouvre quelquechose (A),VTA isc,T8wdan8mek,,"Laurent, 1884, p.96",,
Quelqu'un ouvre quelquechose (I),VTI isc,T8wdan8zik,,"Laurent, 1884, p.96",,
Ouvre quelquechose (A),VTA;2;s;Impératif,T8wdana,,"Laurent, 1884, p.96",,
Ouvre quelquechose (I),VTI;2;s;Impératif,T8wdana,,"Laurent, 1884, p.96",,
Ouvrez quelquechose (A),VTI;2;p;Impératif,T8wdanogw,,"Laurent, 1884, p.96",,
Et,Conjonction de coordination,Ta,,"Nolett-Ille, 1996, p.17",,
Comme,Conjonction,Ta8lawi,,"Laurent, 1884, p.89",,
Souffle court,NI,Taakwi nasaw8gan,,"Laurent, 1884, p.24",,
Quelquechose (I) est court.,VII,Taakwigen,,"Masta, 1932, p.65",,
Et (pour les nombres),,Taba,,"Laurent, 1884, p.74",,
Le seigneur,VTI;Participle,Tabaldak,Nom;Personne,"Laurent, 1884, p.13",,
Pourvu que,Conjonction,Tabat,,"Laurent, 1884, p.90",,
Pourvu que,Conjonction,Tabatta,,"Laurent, 1884, p.90",,
Plus tard,Particule,Tabena,,"Laurent, 1884, p.115",,
Assez,Adv,Tabi,,"Laurent, 1884, p.87",,
Bientôt,,Tabna,,"Wz8khilain, 1830, p.47",,
Vivre en modération,,Tagas8wzimek,,"Masta, 1932, p.76",,
Peu,Adv,Tagasiwi,,"Wz8khilain, 1830, p.62",,
Automne,NI,Tagw8gw,,"Wz8khilain, 1830, p.53",,
Automne passé,,Tagw8gwa,,"Nolett-Ille, 1996, p. 3",,
Automne prochain,,Tagw8gwiga,,"Nolett-Ille, 1996, p. 3",,
En automne,,Tagw8gwiwi,,"Nolett-Ille, 1996, p. 3",,
C’est l’automne,,Tagw8gwoo,,,,
Moulin,NI,Tagwah8gan,Nom;Lieu,"Laurent, 1884, p. 12",,
Moulin,NI,Tagwah8gan,Nom,"Laurent, 1884, p.40",,
"Similaire, Pareil, Même",Particule,Tah8lawi,,"Laurent, 1884, p. 99",,
"Définitivement, Exactement",Particule,Taketa,,"Laurent, 1884, p.112","Laurent, 1884, p.69, Nolett-Ille, 1996, p.8",
Là,Adv,Tali,,"Nolett-Ille, 1996, p.26",,
Terrine,I ?,Talin,,"Wz8khilain, 1830, p.45",,
En bas,Adv,Tapsiwi,,,,
Chaise,NI,Tasakwabon,,"Wz8khilain, 1830, p.61",,
Plateforme pour la chasse,NI,Tasakwtahigan,Nom;Objet,"Day, 1994, p.157",,
"Quelquechose (I) est égal, de niveau, pareil",VII;3;s;présent,Tatebigen,,"Laurent, 1884, p.65",,
Table,NI,Tawipodi,,"Wz8khilain, 1830, p.61",,
Nappe; Serviettte de table,NI,Tawipodiagen,,"Laurent, 1884, p.28",,
Contenant,NI,Tawtigan,Nom;Objet,"Day, 1994, p.159",,
Fenêtre,NI,Tawz8gan,,"Laurent, 1884, p.88",,
Balance,NI,Tb8bakhigan,,"Wz8khilain, 1830, p.63",,
Autorité,NI,Tbaldamw8gan,Nom,"Laurent, 1884, p.160",,
"Direction, symbol, lettre, indication.",NI,Tbaskhodigan,Nom,"Day, 1994, p.160",,
Montre-bracelet,NI,Tbaïkizos8gan,Nom;Objet;Vêtement,"Laurent, 1884, p.27",,
Quelqu’un emporte quelqu’un (A),VTA,Tbestaw8mek,,"Laurent, 1884, p.191",,
Nuit,NI,Tebokw,Nom;Temps,"Laurent, 1884, p.19",,
Vague,NA,Tegw,,"Wz8khilain, 1830, p.45",,
Nuit,NI,Tepokw,,"Wz8khilain, 1830, p.47",,
Au même niveau,Adv,Tetebaskiwiwi,,"Laurent, 1884, p.89",,
Thé,NA,Ti,,"Laurent, 1884, p.29",,
Thé du canada,NI,Tibagw,Nom;Plante,"Rousseau, 1947, p. 40",,
Geai bleu,NA,Tideso,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Théière,NA,Tiikwat,Nom;Objet,"Day, 1994, p.165",,
Melon,NI,Timeno,Nom;Plante;Fruit,"Day, 1994, p.463",,
Poivre,NA,Tipwabel,,"Wz8khilain, 1830, p.49",,
Grand-duc,NA,Titgeli,,"Wz8khilain, 1830, p.55",,
Il fait froid dehors (la température),VII;3;s;présent,Tka,,"Laurent, 1884, p.15",,
C’est une température froide,VII;3;s;présent,Tkakizgat,Verbe,"Laurent, 1884, p.15",,
Baignade,NI,Tkasmow8gan,,"Wz8khilain, 1830, p.58",http://www.mfw.us/blog/wp-content/uploads/2020/04/EditedAbenakiDictionaryNEWNEW.pdf,
Eau de source,NI,Tkebi,Nom,"Laurent, 1884, p.15",,
Ce (I) qui est lourd.,Adj,Tkwigwak,,"Laurent, 1884, p.68",,
Lourd,Adj,Tkwigwi,,"Laurent, 1884, p.65","Nolett-Ille, 1996, p.8",
Ce (A) qui est lourd.,Adj,Tkwigwilek,,"Laurent, 1884, p.68",,
Trappe en acier,NA,Tlaps,,"Wz8khilain, 1830, p.44",,
Hache,NI,Tmahigan,,"Wz8khilain, 1830, p.55",,
Castor,NA,Tmakwa,Nom;Animal;Mammifère,"Wz8khilain, 1830, p.47","Nolett-Ille, 1996, p.10",
Une souche ou un arbre brisé par le vent,NI,Tmanakw,Nom;Arbre,"Wz8khilain, 1830, p.47",,
Une faux,NI,Tmaskez8w8gan,,"Laurent, 1884, p.43",,
Juillet,NA,Tmaskikos,,"Wz8khilain, 1830, p.89",,
Paire de ciseaux,NA,Tmespanahon,,"Wz8khilain, 1830, p.58","Nolett-Ille, 1996, p.48",
Août,NA,Tmez8was,,"Wz8khilain, 1830, p.89",,
Une épée,NI,Tmokwatahigan,Nom;Objet,"Laurent, 1884, p27",,
Lait,NI,Todosn8bo,,"Laurent, 1884, p.11",,
Tortue,NA,Tolba,,"Wz8khilain, 1830, p.47",,
Cabanon,NI,Tos8n,,"Wz8khilain, 1830, p.45",,
Iel parle,VAI,W'klozo,,"Laurent, 1884, p.94",,
Il commence,,W'm8jasa,,,,
Iel parle fort à quelqu'un.,VAI,W'ms8dwa,,"Laurent, 1884, p.94",,
Il voit quelquechose (I) d'indéfini,VTIi,W'namito,,"Laurent, 1884, p.71",,
Il voit quelquechose (I) de défini,VTId,W'namitonal,,"Laurent, 1884, p.71",,
Il/Elle herse quelquechose (I) de défini.,VTId,W'nokapodon,,"Laurent, 1884, p.71",,
Iel est en train de fabriquer quelquechose (I),VTIi,W'pchito,,"Laurent, 1884, p.72",,
Wampum,NI,W8b8bi,,Charland,,
Chemise,NA,W8baks,Nom;Objet;Vêtement,"Nolett-Ille, 1996, p.9",,
Tente (de toile),NI,W8baksigamikw,,"Laurent, 1884, p.61",,
Aube (l'),NI,W8ban,,"Nolett-Ille, 1996, p.3",,
Abénaki,NA,W8banaki,,"Laurent, 1884, p.47",,
Chez les abénakis,,W8banakikok,,,,
Blanc,,W8bi,,"Wz8khilain, 1830, p.48",,
Vin blanc,NI,W8bi makwbagak,,"Laurent, 1884, p.30","Nolett-Ille, 1996, p.34",
Ce qui (I) est blanc.,Adj,W8bigek,,"Laurent, 1884, p.69",,
C'est blanc,VII,W8bigen,,"Laurent, 1884, p.45",,
Oie domestique,NA,W8bigilhakw,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Celui ou ce (A) qui est blanc.,Adj,W8bigit,,"Laurent, 1884, p.69",,
Il est blanc,VAI,W8bigo,,"Laurent, 1884, p.202",,
Souris,NA,W8bikwsos,,"Wz8khilain, 1830, p.57",,
Châtaigne,NI,W8bimen,Nom;Plante;Fruit,"Day, 1994, p.506",,
Châtaignier d'Amérique,NA,W8bimizi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.62",,
Pigeon domestique,NA,W8bipelaz,Nom;Animal;Oiseau,"Laurent, 1884, p.38",,
Wapiti,NA,W8boz,,"Wz8khilain, 1830, p.49",,
Oie sauvage,NA,W8btegwa,Nom;Animal;Oiseau,"Nolett-Ille, 1996, p.34",,
Renard,NA,W8kwses,,"Wz8khilain, 1830, p.49",,
Vallée,,W8lhana,,"Wz8khilain, 1830, p.57",,
Quelquechose est (I) creux,Adj,W8ligen,,"Day, 1994, p.508",,
Quelqu'un ou quelquechose (A) creux,Adj,W8ligo,,"Day, 1994, p.508",,
Marais,NI,W8ljebagw,,"Laurent, 1884, p.16",,
Bêche,NI,W8lk8gan,,"Wz8khilain, 1830, p.56","Nolett-Ille, 1996, p.34",
Un endroit creux,,W8lkaa,,"Wz8khilain, 1830, p.49",,
Pelle,NI,W8lkahigan,,,,
Très tôt tous les matins,VII,W8sp8zaki,,"Day, 1996, p.509",,
Oeuf,NI,W8wan,,"Wz8khilain, 1830, p.48",,
Barbue,NA,W8zweso,,???,,
Ceci (à proximité),Pronom démonstratif Animé,Wa,,"Laurent, 1884, p.98",,
"Celui , celle, ce, celui-ci, celle-ci (A)",Pronom démonstratif,Wa;Owa,,"Day, 1994, p.465",,
Fesse,NI,Wabi,,"Wz8khilain, 1830, p.48",,
Gland de chêne blanc,NI,Wachil,Nom;Plante;Fruit,"Wz8khilain, 1830, p.49",,
Chêne blanc,NA,Wachilmezi,Nom;Plante;Arbre,"Wz8khilain, 1830, p.61",,
Racine pour coudre,NI,Wadap,Nom;Objet,"Aubéry, 1715, p.427",,
Wagon,NI,Wagin,Nom,"Wz8khilain, 1830, p.49",,
Talon,NI,Wagwan,Nom,"Wz8khilain, 1830, p.48",,
Quelqu’un embrasse quelqu’un (A),VTA,Wajam8mek,,"Laurent, 1884, p.192",,
Quelqu’un embrasse quelquechose (I),VTI,Wajamd8zik,,"Laurent, 1884, p.192",,
Racine,NI,Wajapkw,,"Wz8khilain, 1830, p.48",,
Anciennement,Adv,Wajidawi,,"Day, 1994, p.469","Masta, 1932, p.56",
Embrasse-moi,,Wajimi,,,,
Montagne,NA,Wajo,Nom;Lieu,"Wz8khilain, 1830, p.49",,
Hêtre,NA,Wajoimizi,Nom;Plante;Arbre,"Laurent, 1884, p.31",,
Chariot,NA,Wak8likws,,"Laurent, 1884, p.72",,
